--------- beginning of main
08-17 12:16:51.584 W/ReactNativeJS(31906): Require cycle: src/features/navigation/sectionRegistry.ts -> src/features/i18n/featureUiCatalog.ts -> src/features/i18n/uiI18n.ts -> src/features/i18n/uiStringCatalog.ts -> src/features/navigation/sectionRegistry.ts
08-17 12:16:51.584 W/ReactNativeJS(31906): 
08-17 12:16:51.584 W/ReactNativeJS(31906): Require cycles are allowed, but can result in uninitialized values. Consider refactoring to remove the need for a cycle.
08-17 12:16:52.887 I/ReactNativeJS(31906): '[VoIP] WebRTC module loaded', { module: 'react-native-webrtc',
08-17 12:16:52.887 I/ReactNativeJS(31906):   hasPeerConnection: true,
08-17 12:16:52.887 I/ReactNativeJS(31906):   hasMediaDevices: true }
08-17 12:16:53.697 W/ReactNativeJS(31906): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApps()` instead.
08-17 12:16:53.717 W/ReactNativeJS(31906): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `initializeApp()` instead.
08-17 12:16:53.729 W/ReactNativeJS(31906): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApps()` instead.
08-17 12:16:53.741 W/ReactNativeJS(31906): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApp()` instead.
08-17 12:16:53.918 I/ReactNativeJS(31906): Running "main" with {"rootTag":1,"initialProps":{},"fabric":true}
08-17 12:16:59.053 I/ReactNativeJS(31906): '[UI_PRESS_PROBE]', '{"event":"NETWORK_TRANSPORT_CHANGED","timestamp":"2026-08-17T03:16:59.050Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","transport":"unknown","cellular_generation":null,"label":"알 수 없음","is_connected":false,"is_internet_reachable":null,"carrier":null,"ssid":null,"is_accurate_voip_test_ready":false,"previous_label":null}'
08-17 12:16:59.167 I/ReactNativeJS(31906): '[WORLDLINGCO_API] base_url', 'https://metanova1004.com'
08-17 12:16:59.304 I/ReactNativeJS(31906): [VoIPToneService] AudioContext not available (React Native environment)
08-17 12:16:59.522 I/ReactNativeJS(31906): '[UI_PRESS_PROBE]', '{"event":"SORISAE_FAB_VISIBLE_EVAL","timestamp":"2026-08-17T03:16:59.519Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","visible":false,"platform":"android","sorisae_fab_setting":true,"pending_incoming_voip":false,"voip_call_active":false,"sorisae_window_open":false}'
08-17 12:16:59.574 I/ReactNativeJS(31906): '[FACE_CONVERSATION]', '{"event":"silero_probe","supported":false}'
08-17 12:17:00.693 I/ReactNativeJS(31906): '[WORLDLINGCO_TUNING]', '{"event":"remote_loaded","updated_at":"2026-08-14T06:06:31Z","version":6}'
08-17 12:17:20.189 I/ReactNativeJS(31906): '[UI_PRESS_PROBE]', '{"event":"LOGIN_BUTTON_PRESS","timestamp":"2026-08-17T03:17:20.186Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","source":"header_account_row"}'
08-17 12:17:27.782 I/ReactNativeJS(31906): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_FOCUS","timestamp":"2026-08-17T03:17:27.780Z","show_login":true,"focus_field":"NONE","email_length":0,"password_length":0}'
08-17 12:17:38.923 I/ReactNativeJS(31906): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:17:38.922Z","show_login":true,"focus_field":"EMAIL","email_length":0,"password_length":0,"next_length":1}'
08-17 12:17:39.345 I/ReactNativeJS(31906): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:17:39.342Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":2}'
08-17 12:17:39.348 I/ReactNativeJS(31906): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:17:39.346Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":3}'
08-17 12:17:39.350 I/ReactNativeJS(31906): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:17:39.349Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":4}'
08-17 12:17:39.352 I/ReactNativeJS(31906): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:17:39.351Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":5}'
08-17 12:17:39.355 I/ReactNativeJS(31906): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:17:39.353Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":6}'
08-17 12:17:39.358 I/ReactNativeJS(31906): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:17:39.356Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":7}'
08-17 12:17:39.361 I/ReactNativeJS(31906): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:17:39.360Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":8}'
08-17 12:17:39.365 I/ReactNativeJS(31906): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:17:39.362Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":9}'
08-17 12:17:39.843 I/ReactNativeJS(31906): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:17:39.842Z","show_login":true,"focus_field":"EMAIL","email_length":9,"password_length":0,"next_length":10}'
08-17 12:17:39.845 I/ReactNativeJS(31906): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:17:39.844Z","show_login":true,"focus_field":"EMAIL","email_length":9,"password_length":0,"next_length":11}'
08-17 12:17:39.848 I/ReactNativeJS(31906): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:17:39.846Z","show_login":true,"focus_field":"EMAIL","email_length":9,"password_length":0,"next_length":12}'
08-17 12:17:39.850 I/ReactNativeJS(31906): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:17:39.849Z","show_login":true,"focus_field":"EMAIL","email_length":9,"password_length":0,"next_length":13}'
08-17 12:17:39.853 I/ReactNativeJS(31906): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:17:39.851Z","show_login":true,"focus_field":"EMAIL","email_length":9,"password_length":0,"next_length":14}'
