--------- beginning of main
08-17 12:13:24.871 W/ReactNativeJS(29762): Require cycle: src/features/navigation/sectionRegistry.ts -> src/features/i18n/featureUiCatalog.ts -> src/features/i18n/uiI18n.ts -> src/features/i18n/uiStringCatalog.ts -> src/features/navigation/sectionRegistry.ts
08-17 12:13:24.871 W/ReactNativeJS(29762): 
08-17 12:13:24.871 W/ReactNativeJS(29762): Require cycles are allowed, but can result in uninitialized values. Consider refactoring to remove the need for a cycle.
08-17 12:13:26.241 I/ReactNativeJS(29762): '[VoIP] WebRTC module loaded', { module: 'react-native-webrtc',
08-17 12:13:26.241 I/ReactNativeJS(29762):   hasPeerConnection: true,
08-17 12:13:26.241 I/ReactNativeJS(29762):   hasMediaDevices: true }
08-17 12:13:27.020 W/ReactNativeJS(29762): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApps()` instead.
08-17 12:13:27.040 W/ReactNativeJS(29762): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `initializeApp()` instead.
08-17 12:13:27.053 W/ReactNativeJS(29762): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApps()` instead.
08-17 12:13:27.065 W/ReactNativeJS(29762): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApp()` instead.
08-17 12:13:27.233 I/ReactNativeJS(29762): Running "main" with {"rootTag":1,"initialProps":{},"fabric":true}
08-17 12:13:32.474 I/ReactNativeJS(29762): '[UI_PRESS_PROBE]', '{"event":"NETWORK_TRANSPORT_CHANGED","timestamp":"2026-08-17T03:13:32.471Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","transport":"unknown","cellular_generation":null,"label":"알 수 없음","is_connected":false,"is_internet_reachable":null,"carrier":null,"ssid":null,"is_accurate_voip_test_ready":false,"previous_label":null}'
08-17 12:13:32.588 I/ReactNativeJS(29762): '[WORLDLINGCO_API] base_url', 'https://metanova1004.com'
08-17 12:13:32.723 I/ReactNativeJS(29762): [VoIPToneService] AudioContext not available (React Native environment)
08-17 12:13:32.944 I/ReactNativeJS(29762): '[UI_PRESS_PROBE]', '{"event":"SORISAE_FAB_VISIBLE_EVAL","timestamp":"2026-08-17T03:13:32.941Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","visible":false,"platform":"android","sorisae_fab_setting":true,"pending_incoming_voip":false,"voip_call_active":false,"sorisae_window_open":false}'
08-17 12:13:32.995 I/ReactNativeJS(29762): '[FACE_CONVERSATION]', '{"event":"silero_probe","supported":false}'
08-17 12:13:34.036 I/ReactNativeJS(29762): '[WORLDLINGCO_TUNING]', '{"event":"remote_loaded","updated_at":"2026-08-14T06:06:31Z","version":6}'
08-17 12:13:53.547 I/ReactNativeJS(29762): '[UI_PRESS_PROBE]', '{"event":"LOGIN_BUTTON_PRESS","timestamp":"2026-08-17T03:13:53.545Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","source":"header_account_row"}'
08-17 12:14:01.102 I/ReactNativeJS(29762): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_FOCUS","timestamp":"2026-08-17T03:14:01.096Z","show_login":true,"focus_field":"NONE","email_length":0,"password_length":0}'
08-17 12:14:12.437 I/ReactNativeJS(29762): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:14:12.435Z","show_login":true,"focus_field":"EMAIL","email_length":0,"password_length":0,"next_length":1}'
08-17 12:14:12.896 I/ReactNativeJS(29762): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:14:12.895Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":2}'
08-17 12:14:12.899 I/ReactNativeJS(29762): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:14:12.897Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":3}'
08-17 12:14:12.901 I/ReactNativeJS(29762): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:14:12.900Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":4}'
08-17 12:14:12.904 I/ReactNativeJS(29762): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:14:12.902Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":5}'
08-17 12:14:12.906 I/ReactNativeJS(29762): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:14:12.905Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":6}'
08-17 12:14:12.911 I/ReactNativeJS(29762): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:14:12.908Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":7}'
08-17 12:14:12.913 I/ReactNativeJS(29762): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:14:12.912Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":8}'
08-17 12:14:12.916 I/ReactNativeJS(29762): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:14:12.914Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":9}'
08-17 12:14:12.918 I/ReactNativeJS(29762): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:14:12.917Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":10}'
08-17 12:14:13.371 I/ReactNativeJS(29762): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:14:13.369Z","show_login":true,"focus_field":"EMAIL","email_length":10,"password_length":0,"next_length":11}'
08-17 12:14:13.375 I/ReactNativeJS(29762): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:14:13.373Z","show_login":true,"focus_field":"EMAIL","email_length":10,"password_length":0,"next_length":12}'
08-17 12:14:13.377 I/ReactNativeJS(29762): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:14:13.376Z","show_login":true,"focus_field":"EMAIL","email_length":10,"password_length":0,"next_length":13}'
08-17 12:14:13.379 I/ReactNativeJS(29762): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:14:13.378Z","show_login":true,"focus_field":"EMAIL","email_length":10,"password_length":0,"next_length":14}'
