--------- beginning of main
08-17 12:10:49.096 W/ReactNativeJS(27534): Require cycle: src/features/navigation/sectionRegistry.ts -> src/features/i18n/featureUiCatalog.ts -> src/features/i18n/uiI18n.ts -> src/features/i18n/uiStringCatalog.ts -> src/features/navigation/sectionRegistry.ts
08-17 12:10:49.096 W/ReactNativeJS(27534): 
08-17 12:10:49.096 W/ReactNativeJS(27534): Require cycles are allowed, but can result in uninitialized values. Consider refactoring to remove the need for a cycle.
08-17 12:10:50.537 I/ReactNativeJS(27534): '[VoIP] WebRTC module loaded', { module: 'react-native-webrtc',
08-17 12:10:50.537 I/ReactNativeJS(27534):   hasPeerConnection: true,
08-17 12:10:50.537 I/ReactNativeJS(27534):   hasMediaDevices: true }
08-17 12:10:51.308 W/ReactNativeJS(27534): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApps()` instead.
08-17 12:10:51.331 W/ReactNativeJS(27534): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `initializeApp()` instead.
08-17 12:10:51.347 W/ReactNativeJS(27534): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApps()` instead.
08-17 12:10:51.361 W/ReactNativeJS(27534): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApp()` instead.
08-17 12:10:51.562 I/ReactNativeJS(27534): Running "main" with {"rootTag":1,"initialProps":{},"fabric":true}
08-17 12:10:56.750 I/ReactNativeJS(27534): '[UI_PRESS_PROBE]', '{"event":"NETWORK_TRANSPORT_CHANGED","timestamp":"2026-08-17T03:10:56.747Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","transport":"unknown","cellular_generation":null,"label":"알 수 없음","is_connected":false,"is_internet_reachable":null,"carrier":null,"ssid":null,"is_accurate_voip_test_ready":false,"previous_label":null}'
08-17 12:10:56.868 I/ReactNativeJS(27534): '[WORLDLINGCO_API] base_url', 'https://metanova1004.com'
08-17 12:10:57.013 I/ReactNativeJS(27534): [VoIPToneService] AudioContext not available (React Native environment)
08-17 12:10:57.234 I/ReactNativeJS(27534): '[UI_PRESS_PROBE]', '{"event":"SORISAE_FAB_VISIBLE_EVAL","timestamp":"2026-08-17T03:10:57.231Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","visible":false,"platform":"android","sorisae_fab_setting":true,"pending_incoming_voip":false,"voip_call_active":false,"sorisae_window_open":false}'
08-17 12:10:57.286 I/ReactNativeJS(27534): '[FACE_CONVERSATION]', '{"event":"silero_probe","supported":false}'
08-17 12:10:58.352 I/ReactNativeJS(27534): '[WORLDLINGCO_TUNING]', '{"event":"remote_loaded","updated_at":"2026-08-14T06:06:31Z","version":6}'
08-17 12:11:17.908 I/ReactNativeJS(27534): '[UI_PRESS_PROBE]', '{"event":"LOGIN_BUTTON_PRESS","timestamp":"2026-08-17T03:11:17.906Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","source":"header_account_row"}'
08-17 12:11:25.414 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_FOCUS","timestamp":"2026-08-17T03:11:25.412Z","show_login":true,"focus_field":"NONE","email_length":0,"password_length":0}'
08-17 12:11:36.403 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:36.402Z","show_login":true,"focus_field":"EMAIL","email_length":0,"password_length":0,"next_length":1}'
08-17 12:11:36.874 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:36.873Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":2}'
08-17 12:11:36.876 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:36.875Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":3}'
08-17 12:11:36.879 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:36.877Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":4}'
08-17 12:11:36.881 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:36.880Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":5}'
08-17 12:11:36.884 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:36.882Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":6}'
08-17 12:11:36.886 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:36.885Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":7}'
08-17 12:11:36.889 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:36.887Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":8}'
08-17 12:11:36.891 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:36.890Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":9}'
08-17 12:11:36.894 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:36.892Z","show_login":true,"focus_field":"EMAIL","email_length":1,"password_length":0,"next_length":10}'
08-17 12:11:37.377 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:37.376Z","show_login":true,"focus_field":"EMAIL","email_length":10,"password_length":0,"next_length":11}'
08-17 12:11:37.380 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:37.378Z","show_login":true,"focus_field":"EMAIL","email_length":10,"password_length":0,"next_length":12}'
08-17 12:11:37.382 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:37.381Z","show_login":true,"focus_field":"EMAIL","email_length":10,"password_length":0,"next_length":13}'
08-17 12:11:37.385 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:37.384Z","show_login":true,"focus_field":"EMAIL","email_length":10,"password_length":0,"next_length":14}'
08-17 12:11:37.388 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:37.386Z","show_login":true,"focus_field":"EMAIL","email_length":10,"password_length":0,"next_length":15}'
08-17 12:11:37.390 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:37.389Z","show_login":true,"focus_field":"EMAIL","email_length":10,"password_length":0,"next_length":16}'
08-17 12:11:37.392 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:37.391Z","show_login":true,"focus_field":"EMAIL","email_length":10,"password_length":0,"next_length":17}'
08-17 12:11:37.395 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:37.393Z","show_login":true,"focus_field":"EMAIL","email_length":10,"password_length":0,"next_length":18}'
08-17 12:11:37.397 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:37.396Z","show_login":true,"focus_field":"EMAIL","email_length":10,"password_length":0,"next_length":19}'
08-17 12:11:37.442 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:11:37.440Z","show_login":true,"focus_field":"EMAIL","email_length":10,"password_length":0,"next_length":19}'
08-17 12:11:41.164 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_BLUR","timestamp":"2026-08-17T03:11:41.161Z","show_login":true,"focus_field":"EMAIL","email_length":19,"password_length":0}'
08-17 12:11:41.168 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_FOCUS","timestamp":"2026-08-17T03:11:41.166Z","show_login":true,"focus_field":"EMAIL","email_length":19,"password_length":0}'
08-17 12:11:52.297 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:11:52.295Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":0,"next_length":1}'
08-17 12:11:52.822 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:11:52.821Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":1,"next_length":2}'
08-17 12:11:52.825 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:11:52.823Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":1,"next_length":3}'
08-17 12:11:52.828 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:11:52.826Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":1,"next_length":4}'
08-17 12:11:52.830 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:11:52.829Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":1,"next_length":5}'
08-17 12:11:52.833 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:11:52.832Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":1,"next_length":6}'
08-17 12:11:52.836 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:11:52.834Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":1,"next_length":7}'
08-17 12:11:52.839 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:11:52.837Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":1,"next_length":8}'
08-17 12:11:53.362 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:11:53.361Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":8,"next_length":9}'
08-17 12:11:53.365 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:11:53.363Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":8,"next_length":10}'
08-17 12:11:53.367 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:11:53.366Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":8,"next_length":11}'
08-17 12:11:53.369 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:11:53.368Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":8,"next_length":12}'
08-17 12:11:53.372 I/ReactNativeJS(27534): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:11:53.370Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":8,"next_length":13}'
